Symbol,Name,Last Sale,Market Cap,Volume,Sector,Industry
LUMO,Lumos Pharma Inc. Common Stock,$35.71,296287941,63067,Health Care,Major Pharmaceuticals
LUNA,Luna Innovations Incorporated Common Stock,$9.88,304680033,167809,Health Care,Biotechnology: Commercial Physical & Biological Resarch
LUNG,Pulmonx Corporation Common Stock,$69.02,2461871136,268469,Health Care,Medical/Dental Instruments
LUV,Southwest Airlines Company Common Stock,$46.61,27512627653,5305619,Transportation,Air Freight/Delivery Services
LUXA,Lux Health Tech Acquisition Corp. Class A Common Stock,$10.75,463593750,14568,Finance,Business Services
LVS,Las Vegas Sands Corp. Common Stock,$59.60,45524156369,3255542,Consumer Services,Hotels/Resorts
LW,Lamb Weston Holdings Inc. Common Stock ,$78.74,11522737742,382570,Consumer Non-Durables,Packaged Foods
LX,LexinFintech Holdings Ltd. American Depositary Shares,$6.70,1211760151,742004,Finance,Finance: Consumer Services
LXEH,Lixiang Education Holding Co. Ltd. American Depositary Shares,$8.43,112400562,2039,Consumer Services,Other Consumer Services
LXFR,Luxfer Holdings PLC Ordinary Shares,$16.42,453554866,110630,Basic Industries,Major Chemicals
LXP,Lexington Realty Trust Common Stock,$10.62,2941235699,1743665,,
LXRX,Lexicon Pharmaceuticals Inc. Common Stock,$3.42,483918170,2847810,Health Care,Major Pharmaceuticals
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),$91.66,30607021498,731490,Basic Industries,Major Chemicals
LYFT,Lyft Inc. Class A Common Stock,$49.13,15599906464,3224147,Miscellaneous,Business Services
